treatment,output,code_number_tokens,code_complexity,code_num_identifiers,code_num_strings,code_num_comments,docstring_num_lines,docstring_num_words,docstring_num_sentences
0,0,8,1,0,0,0,1,5,1
0,1,21,3,2,0,0,1,11,1
0,1,11,2,0,1,0,1,10,1
0,0,27,4,3,2,0,1,14,1
0,0,56,3,6,2,0,1,5,0
1,0,16,4,1,1,0,1,19,2
1,1,78,6,3,12,0,1,5,0
0,0,19,2,1,0,0,1,5,0
0,0,20,3,1,0,0,1,13,1
1,1,17,2,3,1,0,1,4,1
0,1,50,2,10,3,0,1,10,0
0,0,11,1,4,0,0,1,4,0
1,1,72,6,8,1,0,1,8,0
0,0,21,2,3,5,0,1,7,2
0,1,15,1,1,4,0,1,8,1
1,1,23,3,3,1,0,1,7,1
0,0,34,4,2,4,0,1,3,0
1,1,28,3,1,2,0,1,5,1
0,1,52,4,10,0,0,1,4,1
0,1,54,4,11,5,0,1,10,1
0,1,30,1,6,7,0,1,10,1
1,0,155,17,5,4,0,1,6,1
1,1,30,4,2,1,0,1,11,1
1,1,45,10,6,1,0,1,21,2
0,1,32,6,2,0,0,1,8,0
0,1,11,2,0,2,0,1,8,1
1,1,87,5,4,7,0,1,11,1
1,1,38,2,6,5,0,1,10,2
0,0,104,13,8,16,0,1,8,1
0,0,61,13,13,20,0,1,11,0
1,1,65,7,4,3,0,1,12,1
0,0,13,2,2,0,0,1,11,1
1,1,17,1,3,0,0,1,39,1
0,0,25,1,5,8,0,1,11,1
1,1,11,1,1,1,0,1,36,3
1,0,105,7,11,0,0,1,21,2
1,0,39,3,6,3,0,1,3,1
0,0,22,3,1,4,0,1,7,0
0,0,52,5,5,2,0,1,11,0
0,1,39,3,4,3,0,1,33,5
0,1,36,2,6,0,0,1,24,2
0,1,16,1,1,2,0,1,8,1
0,1,21,1,1,0,0,1,20,0
0,1,32,1,7,3,0,1,13,1
1,1,14,2,2,1,0,1,34,1
1,1,63,6,9,1,0,1,23,2
0,0,44,6,1,5,0,1,16,1
1,1,25,4,0,1,0,1,21,1
0,1,42,4,1,5,0,1,11,1
0,1,13,1,4,0,0,1,17,2
0,1,38,5,2,1,0,1,10,1
1,0,70,8,4,6,0,1,10,1
0,0,17,2,1,2,0,1,8,1
1,0,12,2,1,0,0,1,4,1
0,1,95,11,3,3,0,1,5,0
1,0,22,3,1,0,0,1,41,4
1,0,118,8,10,15,0,1,4,0
1,0,14,2,1,0,0,1,8,1
1,0,15,2,1,1,0,1,9,0
1,0,87,5,8,12,0,1,8,1
1,0,37,4,6,5,0,1,10,1
0,0,53,5,8,7,0,1,61,6
0,0,22,1,6,1,0,1,8,1
1,1,30,3,2,1,0,1,2,0
1,1,87,9,6,9,0,1,37,0
0,0,28,2,5,0,0,1,6,1
1,0,38,3,9,4,0,1,11,1
1,0,31,4,4,0,0,1,8,0
0,0,9,1,3,0,0,1,5,1
0,1,95,7,4,10,0,1,24,2
1,1,10,1,1,0,0,1,7,1
1,1,84,6,7,11,0,1,9,1
0,1,17,2,3,0,0,1,4,1
0,0,19,1,3,5,0,1,8,1
1,0,99,8,4,23,0,1,27,2
